roundness,perimeter_ratio_to_diameter,compactness,eccentricity,aspect_ratio,rectangularity,narrow_factor,perimeter_ratio_major_minor,hu_1,hu_2,hu_3,hu_4,hu_5,hu_6,hu7,mean_R,mean_G,mean_B,std_R,std_G,std_B,skewness_R,skewness_G,skewness_B,kurtosis_R,kurtosis_G,kurtosis_B,contrast,correlation,energy,homogeneity,class
0.36884,3.5331,5.837,0.8217,1.7546,0.77832,1.1003,2.4763,0.18666,0.00905,0.000078,0.000012,0,0.000001,0,80.969,81.638,14.269,20.398,20.284,21.33,-0.28254,-0.51914,1.4932,4.2487,4.5371,4.4354,0.13121,0.98877,0.23375,0.93751,1
0.38151,3.4243,5.7392,0.82174,1.7548,0.77691,1.1152,2.4325,0.18701,0.009087,0.000071,0.000009,0,0.000001,0,85.182,84.074,29.49,18.079,18.546,25.907,0.17761,-0.001791,0.53622,3.6658,3.7257,2.3236,0.13221,0.98827,0.23445,0.93722,1
0.40996,3.4313,5.5365,0.79911,1.6634,0.77352,1.1003,2.3579,0.18297,0.007366,0.000081,0.000012,0,0.000001,0,85.574,85.912,22.855,18.864,18.895,25.583,-0.11457,-0.19919,0.84646,3.3483,3.4704,2.6509,0.13279,0.98817,0.22993,0.93672,1
0.39323,3.4399,5.653,0.82015,1.7478,0.77444,1.0939,2.3935,0.18723,0.009002,0.000092,0.000016,0,0.000001,0,84.29,83.719,23.397,18.869,19.736,25.068,-0.079892,-0.22769,0.78302,3.6617,3.8209,2.5256,0.1291,0.98867,0.23076,0.93856,1
0.47409,3.301,5.1485,0.77141,1.5715,0.78131,1.0997,2.2185,0.17661,0.005596,0.000009,0.000001,0,0,0,91.064,92.521,22.131,15.747,16.14,21.162,-0.039806,-0.23178,0.69847,4.587,4.9923,2.7346,0.12452,0.98688,0.26982,0.94075,1
0.52101,3.3968,4.9111,0.69755,1.3956,0.78205,1.0823,2.1417,0.1688,0.002945,0.000003,0,0,0,0,71.442,74.625,0.94962,17.232,17.557,6.3057,-0.075094,-0.018925,9.5401,4.5445,4.3553,116.28,0.152,0.98686,0.22583,0.92896,1
0.48198,3.1635,5.1061,0.8035,1.6798,0.77552,1.0967,2.1748,0.18335,0.007639,0.000067,0.000011,0,0.000001,0,87.27,87.646,18.041,15.715,16.352,19.354,0.061177,-0.074645,0.95123,5.0437,5.0393,3.3163,0.1237,0.9881,0.28307,0.94318,1
0.45197,3.3356,5.2729,0.78056,1.5998,0.77801,1.1024,2.2627,0.17873,0.006131,0.00003,0.000003,0,0,0,83.107,85.01,7.6459,17.622,17.432,15.704,0.24126,0.22702,2.3894,3.8258,3.7806,8.8945,0.14517,0.98648,0.25485,0.93259,1
0.43739,3.3801,5.3601,0.77838,1.5929,0.7775,1.1079,2.3005,0.17851,0.006019,0.000068,0.000006,0,0.000001,0,81.078,77.055,16.757,19.835,21.156,24.009,0.10069,-0.11045,1.3224,3.6139,3.6584,3.7255,0.14628,0.9882,0.21417,0.9304,1
0.46217,3.306,5.2144,0.74824,1.5073,0.77849,1.1335,2.2528,0.17427,0.00459,0.000026,0.000001,0,0,0,89.507,88.106,23.159,16.68,17.57,22.378,-0.18314,-0.30707,0.6857,4.1263,4.3652,2.6116,0.11726,0.98915,0.26181,0.94413,1
